#Category Name (mandatory),#Application Name (mandatory),#Repo package(s) (mandatory only for repo-applications)
,,
desktop,Gnome_shell,gnome-shell
desktop,KDE,kde-plasma-desktop
desktop,Cinnamon,cinnamon lightdm
desktop,Mate,mate-desktop-environment lightdm
desktop,Xfce,xfce4 lightdm
desktop,Lxde,lxde xinit lxsession-logout xfce4-notifyd
,,
developer_tools,Atom,
developer_tools,Bluefish,bluefish
developer_tools,Eclipse,eclipse
developer_tools,Emacs,emacs
developer_tools,Geany,geany
developer_tools,Git,git
developer_tools,Git_cola,git-cola
developer_tools,MariaDB_client,mariadb-client-10.0
developer_tools,Meld,meld
developer_tools,MySQL_workbench,mysql-workbench
developer_tools,OpenJdk,default-jdk
developer_tools,Pgadmin_iii,pgadmin3
developer_tools,PostgreSql_client,postgresql-client
developer_tools,Qt_creator,qtcreator
developer_tools,SQLite_database_browser,sqlitebrowser
,,
education,Goldendict,goldendict
education,Klavaro,klavaro
education,Ktouch,ktouch
education,Marble,marble-qt
,,
games,Battle_for_Wesnoth,wesnoth
games,Frogatto,frogatto
games,Gbrainy,gbrainy
games,Pingus,pingus
games,Steam,steam
games,Supertux,supertux
games,Supertuxkart,supertuxkart
games,Xonotic,
,,
graphics,Blender,blender
graphics,Gimp,gimp
graphics,Hugin_panorama_photo_stitcher,hugin
graphics,Imagemagick,imagemagick
graphics,Inkscape,inkscape
graphics,Mcomix,mcomix
graphics,Pinta,pinta
graphics,Scribus,scribus
graphics,Shutter,shutter
,,
internet,Chrome,google-chrome-stable
internet,Chromium,chromium
internet,Deluge_application,deluge
internet,Discord,
internet,Dropbox,nautilus-dropbox
internet,Evolution,evolution
internet,Filezilla,filezilla
internet,Firefox,firefox-esr
internet,Google_earth,googleearth-package
internet,jDownloader,
internet,jDownloader2_beta,
internet,Kget,kget
internet,Liferea,liferea
internet,Mumble,mumble
internet,OpenJRE,default-jre
internet,Pidgin,pidgin pidgin-extprefs
internet,qBittorrent_application,qbittorrent
internet,Remmina,remmina
internet,Skype,
internet,Teamviewer_full,
internet,Teamviewer_quick_support,
internet,Transmission_application_Qt,transmission-qt
internet,Transmission_application_Gtk,transmission-gtk
internet,Transmission_client,transgui
internet,Uget,uget
internet,Xchat,xchat
,,
office,Abiword,abiword
office,Calibre,calibre
office,Calligra,calligra
office,Evince,evince
office,Eye_of_Gnome,eog
office,Gcstar,gcstar
office,Gnumeric,gnumeric
office,Libreoffice,libreoffice
office,Texmaker,texmaker
office,Tomboy,tomboy
,,
science,Celestia,celestia-common-nonfree
science,gElemental,gelemental
science,Geogebra,geogebra
science,Kalzium,kalzium
science,Stellarium,stellarium
,,
server,Apache_2,apache2
server,Aria_2_server,aria2
server,Bind_9,bind9
server,Deluge_server,deluged deluge-webui
server,Jetty,jetty8
server,MariaDB_server,mariadb-server-10.0
server,Mumble_server,mumble-server
server,MySql_server,mysql-server
server,Proftpd,proftpd-basic
server,qBittorrent_server,qbittorrent-nox
server,SSH_server,openssh-server
server,Tomcat,tomcat8
server,Transmission_server,transmission-daemon
server,VNC_server,tightvncserver
,,
sound_video,Amarok,amarok
sound_video,Audacity,audacity
sound_video,Clementine,clementine
sound_video,Gstreamer,gstreamer0.10-plugins-bad gstreamer0.10-plugins-ugly
sound_video,Guvcview,guvcview
sound_video,Xbmc,xbmc
sound_video,Mediainfo,mediainfo
sound_video,MkvToolNix,mkvtoolnix-gui
sound_video,OpenShot,openshot
sound_video,Puddletag,puddletag
sound_video,Smplayer,smplayer
sound_video,Spotify,spotify-client
sound_video,SubDownloader,subdownloader
sound_video,Videolan,vlc
sound_video,Flash_plugin,flashplugin-nonfree
,,
system,Bleachbit,bleachbit
system,Gdebi,gdebi
system,Gparted,gparted
system,Hardinfo,hardinfo
system,Htop,htop
system,Log_viewer,gnome-system-log
system,Lxtask,lxtask
system,Schedule,gnome-schedule
system,Synaptic,synaptic software-properties-gtk
system,System_monitor,gnome-system-monitor
system,Wine,wine
,,
utilities,Byobu,byobu
utilities,Catfish,catfish
utilities,Compressor_commands,p7zip-full p7zip-rar
utilities,Etcher,etcher-electron
utilities,Gedit,gedit
utilities,Guake_terminal,guake
utilities,Keepassx,keepassx
utilities,Luckybackup,luckybackup
utilities,Menu_libre,menulibre
utilities,Peazip,
utilities,Py_par2,pypar2
utilities,Pyrenamer,pyrenamer
utilities,Speedcrunch,speedcrunch
utilities,Vim,vim
utilities,Virtualbox,virtualbox virtualbox-guest-x11
utilities,VMWare_player,
utilities,Yakuake,yakuake
